product_id,product_name,category,cost,rating
PROD01,Product_1,食品,413.04,4.1
PROD02,Product_2,服装,316.87,4.7
PROD03,Product_3,图书,429.77,3.8
PROD04,Product_4,图书,392.97,3.7
PROD05,Product_5,家居,217.35,4.2
PROD06,Product_6,家居,104.53,4.3
PROD07,Product_7,电子产品,259.53,3.9
PROD08,Product_8,图书,369.43,3.9
PROD09,Product_9,家居,221.03,4.0
PROD10,Product_10,服装,335.05,4.7
PROD11,Product_11,食品,51.69,3.9
PROD12,Product_12,服装,375.26,4.9
PROD13,Product_13,食品,407.29,4.0
PROD14,Product_14,家居,354.88,4.9
PROD15,Product_15,电子产品,483.8,4.7
PROD16,Product_16,服装,414.19,3.7
PROD17,Product_17,服装,452.03,4.7
PROD18,Product_18,服装,467.12,3.2
PROD19,Product_19,食品,401.67,4.9
PROD20,Product_20,家居,338.76,4.3
PROD21,Product_21,服装,7.83,3.1
PROD22,Product_22,服装,235.58,4.3
PROD23,Product_23,电子产品,287.73,4.9
PROD24,Product_24,电子产品,155.49,3.1
PROD25,Product_25,家居,162.46,4.1
PROD26,Product_26,家居,480.77,4.5
PROD27,Product_27,图书,446.4,4.6
PROD28,Product_28,电子产品,425.34,3.8
PROD29,Product_29,图书,205.98,3.4
PROD30,Product_30,食品,11.78,3.1
PROD31,Product_31,图书,44.71,4.2
PROD32,Product_32,服装,159.54,3.9
PROD33,Product_33,图书,12.79,4.9
PROD34,Product_34,家居,13.49,3.1
PROD35,Product_35,食品,458.72,4.4
PROD36,Product_36,服装,354.55,3.0
PROD37,Product_37,图书,157.93,3.3
PROD38,Product_38,食品,70.66,3.9
PROD39,Product_39,食品,258.26,3.9
PROD40,Product_40,服装,7.65,4.4
PROD41,Product_41,图书,469.51,4.8
PROD42,Product_42,食品,210.33,4.3
PROD43,Product_43,食品,204.16,4.9
PROD44,Product_44,电子产品,198.34,4.8
PROD45,Product_45,食品,39.32,4.2
PROD46,Product_46,电子产品,320.97,4.7
PROD47,Product_47,图书,367.84,4.3
PROD48,Product_48,图书,339.68,3.2
PROD49,Product_49,图书,73.53,4.5
PROD50,Product_50,家居,291.53,3.2
